timestamp,marker_id,x_base,y_base,z_base
1777047783.156806,0,0.012450,-0.116990,0.365500
1777047783.156806,1,-0.013014,-0.143102,0.399061
1777047783.156806,2,-0.041815,-0.177233,0.428851
1777047783.156806,3,-0.026384,-0.091941,0.351481
1777047783.156806,4,-0.049576,-0.112352,0.391189
1777047783.156806,5,-0.076501,-0.138963,0.424749
1777047783.156806,6,-0.067557,-0.066841,0.336252
1777047783.156806,7,-0.088723,-0.085696,0.378696
1777047783.156806,8,-0.110481,-0.105287,0.418630
1777047783.156806,9,-0.105597,-0.037587,0.326490
1777047783.156806,10,-0.129631,-0.060797,0.364454
1777047783.156806,11,-0.152650,-0.082047,0.403074
1777047783.190432,0,0.012450,-0.116990,0.365500
1777047783.190432,1,-0.014227,-0.143802,0.398609
1777047783.190432,2,-0.041933,-0.177140,0.428637
1777047783.190432,3,-0.026165,-0.091461,0.351834
1777047783.190432,4,-0.049576,-0.112352,0.391189
1777047783.190432,5,-0.075439,-0.137354,0.425735
1777047783.190432,6,-0.067184,-0.066337,0.337382
1777047783.190432,7,-0.088447,-0.085175,0.379099
1777047783.190432,8,-0.113156,-0.108452,0.415692
1777047783.190432,9,-0.106364,-0.038258,0.325458
1777047783.190432,10,-0.128947,-0.059898,0.365351
1777047783.190432,11,-0.152650,-0.082047,0.403074
1777047783.224058,0,0.012073,-0.118450,0.363741
1777047783.224058,1,-0.013821,-0.142790,0.399350
1777047783.224058,2,-0.042223,-0.175950,0.429299
1777047783.224058,3,-0.025384,-0.089909,0.353780
1777047783.224058,4,-0.050200,-0.111970,0.391449
1777047783.224058,5,-0.076501,-0.138963,0.424749
1777047783.224058,6,-0.066382,-0.065024,0.338768
1777047783.224058,7,-0.088723,-0.085696,0.378696
1777047783.224058,8,-0.113156,-0.108452,0.415692
1777047783.224058,9,-0.107913,-0.039947,0.323152
1777047783.224058,10,-0.128947,-0.059898,0.365351
1777047783.224058,11,-0.152650,-0.082047,0.403074
1777047783.257685,0,0.011982,-0.118562,0.363407
1777047783.257685,1,-0.013403,-0.144229,0.398331
1777047783.257685,2,-0.042223,-0.175950,0.429299
1777047783.257685,3,-0.026358,-0.092016,0.351342
1777047783.257685,4,-0.050200,-0.111970,0.391449
1777047783.257685,5,-0.075115,-0.138399,0.425147
1777047783.257685,6,-0.066748,-0.065437,0.338006
1777047783.257685,7,-0.088723,-0.085696,0.378696
1777047783.257685,8,-0.113156,-0.108452,0.415692
1777047783.257685,9,-0.106364,-0.038258,0.325458
1777047783.257685,10,-0.129631,-0.060797,0.364454
1777047783.257685,11,-0.153516,-0.082994,0.402454
1777047784.333286,0,0.012680,-0.116010,0.366388
1777047784.333286,1,-0.012984,-0.143415,0.399064
1777047784.333286,2,-0.040629,-0.174335,0.430486
1777047784.333286,3,-0.025537,-0.090246,0.353596
1777047784.333286,4,-0.049576,-0.112352,0.391189
